strength,mean_p_positive,std_p_positive,n_samples,delta_from_baseline,model,model_size,num_layers
-0.1,0.5953483843803405,0.4429987218451047,50,-0.2666510987281799,Qwen/Qwen3-14B,14B,40
-0.05,0.7731199073791504,0.3690832599679501,50,-0.0888795757293701,Qwen/Qwen3-14B,14B,40
0.0,0.8619994831085205,0.3082054125989066,50,0.0,Qwen/Qwen3-14B,14B,40
0.05,0.9931710243225098,0.0183808647498701,50,0.1311715412139893,Qwen/Qwen3-14B,14B,40
0.1,0.9302587068080902,0.2451794463186719,50,0.0682592236995697,Qwen/Qwen3-14B,14B,40
0.25,0.9998305797576904,9.776344122185633e-05,50,0.1378310966491699,Qwen/Qwen3-14B,14B,40
0.5,0.9998629593849182,4.558233647944798e-05,50,0.1378634762763977,Qwen/Qwen3-14B,14B,40
-0.5,0.022497227191925,0.0091383042853001,50,-0.9560694670677186,Qwen/Qwen3-32B,32B,64
-0.25,0.0119750869274139,0.062445755615941,50,-0.9665916073322296,Qwen/Qwen3-32B,32B,64
-0.1,0.303646433353424,0.4163305940808454,50,-0.6749202609062195,Qwen/Qwen3-32B,32B,64
-0.05,0.6641681134700775,0.4554307362972018,50,-0.314398580789566,Qwen/Qwen3-32B,32B,64
0.0,0.9785666942596436,0.1400005402517825,50,0.0,Qwen/Qwen3-32B,32B,64
0.05,0.9797939085960388,0.1387488344195153,50,0.0012272143363951,Qwen/Qwen3-32B,32B,64
0.1,0.9995565390586854,0.0006251076874136,50,0.0209898447990417,Qwen/Qwen3-32B,32B,64
0.25,0.9996892189979554,0.0004172483137394,50,0.0211225247383117,Qwen/Qwen3-32B,32B,64
0.5,0.9998756730556488,1.630441811599905e-05,50,0.0213089787960052,Qwen/Qwen3-32B,32B,64
