strength,mean_p_positive,std_p_positive,n_samples,delta_from_baseline,model,model_size,num_layers
-1.0,0.1189035618305206,0.2208539585252262,50,-0.4601136076450347,Qwen/Qwen3-14B,14B,40
-0.5,0.131158013343811,0.3121833465276522,50,-0.4478591561317443,Qwen/Qwen3-14B,14B,40
-0.25,0.0221934533119201,0.1386375181420076,50,-0.5568237161636352,Qwen/Qwen3-14B,14B,40
-0.1,0.0805801391601562,0.23264910701636,50,-0.4984370303153991,Qwen/Qwen3-14B,14B,40
0.0,0.5790171694755554,0.4652953834972589,50,0.0,Qwen/Qwen3-14B,14B,40
0.1,0.8604737067222595,0.3199111028505922,50,0.2814565372467041,Qwen/Qwen3-14B,14B,40
0.25,0.9798125076293944,0.1405945181195495,50,0.4007953381538391,Qwen/Qwen3-14B,14B,40
0.5,0.9998426914215088,0.0001357427694836,50,0.4208255219459534,Qwen/Qwen3-14B,14B,40
1.0,0.409707624912262,0.4608113793575164,50,-0.1693095445632934,Qwen/Qwen3-14B,14B,40
-1.0,0.0349300682544708,0.0034545613295501,50,-0.714694629907608,Qwen/Qwen3-32B,32B,64
-0.5,0.0370666849613189,0.1134628368252266,50,-0.71255801320076,Qwen/Qwen3-32B,32B,64
-0.25,0.0206186783313751,0.1390577517218199,50,-0.7290060198307038,Qwen/Qwen3-32B,32B,64
-0.1,0.0764897263050079,0.2398473519351525,50,-0.6731349718570709,Qwen/Qwen3-32B,32B,64
0.0,0.7496246981620789,0.4127836201533496,50,0.0,Qwen/Qwen3-32B,32B,64
0.1,0.8258627867698669,0.3601194430269975,50,0.076238088607788,Qwen/Qwen3-32B,32B,64
0.25,0.9550155746936798,0.1958564835068163,50,0.2053908765316009,Qwen/Qwen3-32B,32B,64
0.5,0.999858969449997,6.673905029434516e-05,50,0.2502342712879181,Qwen/Qwen3-32B,32B,64
1.0,0.1375955355167389,0.0840310787220239,50,-0.61202916264534,Qwen/Qwen3-32B,32B,64
